0,0                                                                             
0,4                                                                             
0,280                                                                           
172,633                                                                         
691,958                                                                         
-415,1053                                                                       
1488,2222                                                                       
1716,2522                                                                       
2081,-5686                                                                      
2671,3038                                                                       
2902,3101                                                                       
3125,3454                                                                       
3365,3670                                                                       
3728,3893                                                                       
3927,4155                                                                       
4059,4275                                                                       
4325,4469                                                                       
4419,4620                                                                       
4486,4697                                                                       
4777,4827                                                                       
4822,4926                                                                       
5062,5050                                                                       
5022,5185                                                                       
5197,5206                                                                       
5091,5156                                                                       
5322,5338                                                                       
5139,5146                                                                       
5213,5281                                                                       
5406,5336                                                                       
5273,5295                                                                       
5394,5369                                                                       
5273,5317                                                                       
5353,5358                                                                       
5328,5417                                                                       
5317,5398                                                                       
5386,5468                                                                       
5319,5403                                                                       
5442,5514                                                                       
5300,5391                                                                       
5449,5470                                                                       
5295,5398                                                                       
5401,5434                                                                       
5420,5499                                                                       
5413,5463                                                                       
5533,5528                                                                       
5401,5442                                                                       
5518,5521                                                                       
5410,5358                                                                       
5420,5525                                                                       
5516,5415                                                                       
5572,5569                                                                       
5436,5425                                                                       
5550,5545                                                                       
5478,5521                                                                       
5480,5497                                                                       
5480,5516                                                                       
5495,5526                                                                       
5523,5571                                                                       
5456,5528                                                                       
5554,5579                                                                       
5408,5499                                                                       
5579,5569                                                                       
5413,5470                                                                       
5554,5516                                                                       
5283,5475                                                                       
5423,5581                                                                       
5533,5461                                                                       
5485,5523                                                                       
5429,5425                                                                       
5401,5355                                                                       
5423,5375                                                                       
5624,5643                                                                       
5475,5466                                                                       
5629,5579                                                                       
5470,5470                                                                       
5550,5533                                                                       
5496,5525                                                                       
5490,5549                                                                       
5497,5545                                                                       
5514,5545                                                                       
5446,5499                                                                       
5533,5540                                                                       
5420,5506                                                                       
5624,5662                                                                       
5216,5429                                                                       
5502,5595                                                                       
5379,5496                                                                       
5480,5559                                                                       
5321,5312                                                                       
5502,5518                                                                       
5466,5465                                                                       
5521,5502                                                                       
5590,5535                                                                       
5514,5557                                                                       
5687,5542                                                                       
5496,5446
